lat1, long1, lat2, long2, lat3, long3, lat4, long4, danger, pop
41.9,23.3,41.9,23.35,41.85,23.3,41.85,23.35, 0, 0
41.9,23.35,41.9,23.4,41.85,23.35,41.85,23.4, 0, 0
41.9,23.4,41.9,23.45,41.85,23.4,41.85,23.45, 0, 0
41.9,23.45,41.9,23.5,41.85,23.45,41.85,23.5, 0, 0
41.9,23.5,41.9,23.55,41.85,23.5,41.85,23.55, 0, 0
41.9,23.55,41.9,23.6,41.85,23.55,41.85,23.6, 0, 0
41.85,23.3,41.85,23.35,41.8,23.3,41.8,23.35, 0, 0
41.85,23.35,41.85,23.4,41.8,23.35,41.8,23.4, 0, 0
41.85,23.4,41.85,23.45,41.8,23.4,41.8,23.45, 0, 0
41.85,23.45,41.85,23.5,41.8,23.45,41.8,23.5, 0, 0
41.85,23.5,41.85,23.55,41.8,23.5,41.8,23.55, 0, 0
41.85,23.55,41.85,23.6,41.8,23.55,41.8,23.6, 0, 0
41.8,23.3,41.8,23.35,41.75,23.3,41.75,23.35, 0, 0
41.8,23.35,41.8,23.4,41.75,23.35,41.75,23.4, 0, 0
41.8,23.4,41.8,23.45,41.75,23.4,41.75,23.45, 0.7, 0
41.8,23.45,41.8,23.5,41.75,23.45,41.75,23.5, 0.9, 0
41.8,23.5,41.8,23.55,41.75,23.5,41.75,23.55, 0, 0
41.8,23.55,41.8,23.6,41.75,23.55,41.75,23.6, 0, 0
41.75,23.3,41.75,23.35,41.7,23.3,41.7,23.35, 0, 0
41.75,23.35,41.75,23.4,41.7,23.35,41.7,23.4, 0, 0
41.75,23.4,41.75,23.45,41.7,23.4,41.7,23.45, 0.7, 0
41.75,23.45,41.75,23.5,41.7,23.45,41.7,23.5, 0.7, 0
41.75,23.5,41.75,23.55,41.7,23.5,41.7,23.55, 0, 0
41.75,23.55,41.75,23.6,41.7,23.55,41.7,23.6, 0, 0
41.7,23.3,41.7,23.35,41.65,23.3,41.65,23.35, 0, 0
41.7,23.35,41.7,23.4,41.65,23.35,41.65,23.4, 0, 0
41.7,23.4,41.7,23.45,41.65,23.4,41.65,23.45, 0, 0
41.7,23.45,41.7,23.5,41.65,23.45,41.65,23.5, 0, 0
41.7,23.5,41.7,23.55,41.65,23.5,41.65,23.55, 0, 0
41.7,23.55,41.7,23.6,41.65,23.55,41.65,23.6, 0, 0
41.65,23.3,41.65,23.35,41.6,23.3,41.6,23.35, 0, 0
41.65,23.35,41.65,23.4,41.6,23.35,41.6,23.4, 0, 0
41.65,23.4,41.65,23.45,41.6,23.4,41.6,23.45, 0, 0
41.65,23.45,41.65,23.5,41.6,23.45,41.6,23.5, 0, 0
41.65,23.5,41.65,23.55,41.6,23.5,41.6,23.55, 0, 0
41.65,23.55,41.65,23.6,41.6,23.55,41.6,23.6, 0, 0
